ants-1  ,Min01 ,azerty,Assure--essai                              ,Assure--essai                              ,"Paolo, Luigi, Francesco, Gianluca"              ,Male         ,min01@mail.com,612345678,1985-12-02,37000 ,99100,France  ,Mornant                   ,69440,11 bis Rue Henri-IV
ants-2  ,Min02 ,azerty,Bellaventura--essai                        ,Bellaventura--essai                        ,"Cassandra, Monica, Elena"                       ,Female       ,min02@mail.com,612345678,1999-08-02,9310  ,99100,France  ,Chasselay                 ,69380,"7, le Promenoir"
ants-3  ,Min03 ,azerty,Bellaventura--essai                        ,Bellaventura--essai                        ,"Alessandra, Carla, Giulia"                      ,Female       ,min03@mail.com,612345678,1968-03-02,54000 ,99100,France  ,Chasselay                 ,69380,"7, le Promenoir du long chemin"
ants-4  ,Min04 ,azerty,Bellaventura--essai                        ,Bellaventura--essai                        ,"Federico, Alessandro, Pier-paolo"               ,Male         ,min04@mail.com,612345678,1999-06-03,57000 ,99100,France  ,Châtillon                 ,69380,"7, le Promenoir de la très longue adresse"
ants-5  ,Min05 ,azerty,Bellaventura--essai                        ,Bellaventura--essai                        ,"Jean-Frédéric, Pierre-Alain, Amalrïck"          ,Male         ,min05@mail.com,612345678,2000-09-28,8201  ,99415,France  ,Neuilly sur Lierre        ,92200,478 chemin dés Accènts coùpliqués et des ï quî ont ça
ants-6  ,Min06 ,azerty,LALI ESSAI                                 ,LALI ESSAI                                 ,Corne                                            ,Female       ,min06@mail.com,612345678,1981-12-08,39110 ,99100,France  ,Andelot-Morval            ,39320,"115, route de Saint-Amour"
ants-7  ,Min07 ,azerty,de-trois-quatre essai                      ,de-trois-quatre essai                      ,"Esteban, François, Henri"                       ,Male         ,min07@mail.com,612345678,2001-12-12,82230 ,99100,France  ,La Salvetat-Belmontet     ,82230,"32, Boulevard de l'eau pétillante"
ants-8  ,Min08 ,azerty,DE LA FAVE ESSAI                           ,DE LA FAVE ESSAI                           ,"MAURICE, BERTRAND, CHARLES"                     ,Male         ,min08@mail.com,612345678,1945-01-19,19100 ,99100,France  ,Layrac                    ,47390,"18, place Jean-Jaurès"
ants-9  ,Min09 ,azerty,Essai                                      ,Bellaventura--essai                        ,"Mélina, Léna"                                   ,Female       ,min09@mail.com,612345678,1964-11-18,39260 ,99100,France  ,Andelot-Morval            ,39320,"115, route de Saint-Amour"
ants-10 ,Min10 ,azerty,Essai                                      ,Essai                                      ,Nahïl                                            ,Male         ,min10@mail.com,612345678,1965-01-19,69006 ,99100,France  ,Andelot-Morval            ,39320,"117, route de Saint-Amour au bout de la route"
ants-11 ,Min11 ,azerty,BEN ASSARDI ESSAI                          ,BEN ASSARDI ESSAI                          ,"Yasser, Ilian, BADR"                            ,Male         ,min11@mail.com,612345678,2000-01-12,78130 ,99100,France  ,Acquigny                  ,27400,"14, rue Aristide-Briand"
