id;identifiant;motDePasse;nomDeNaissance;nomDUsage;prenoms;genre;email;telephone;dateDeNaissance;codePostalLieuDeNaissance;codePaysDeNaissance;adressePays;adresseVille;adresseCodePostal;adresseVoie
1000;acesar01;123;CESAR;;Adèle;male;adele.cesar01@yopmail.com;987654321;1934-08-12;67482;99100;France;Toulouse;31400;1 avenue Jean Jaurès
1001;badam;123;ADAM;NU-ADAM;Basile;male;basil.adam@yopmail.com;987654321;2003-01-09;75056;99100;France;Toulouse;31400;1 avenue Jean Jaurès
1002;ncalvin;123;CALVIN;;Najat;male;najat.calvin@yopmail.com;987654321;1961-03-12;67482;99100;France;Toulouse;31400;1 avenue Jean Jaurès
1003;acesar03;123;CESAR;;Adriano;female;adriano.cesar03@yopmail.com;987654321;1961-12-16;75056;99100;France;Toulouse;31400;1 avenue Jean Jaurès
1004;scesar;123;CESAR;NU-CESAR;SABINE;female;sabine.cesar@yopmail.com;987654321;1962-01-01;;99139;France;Toulouse;31400;1 avenue Jean Jaurès
1005;ejardin;123;Jardin;NU-Jardin;Eddy;female;eddy.jardin@yopmail.com;987654321;1976-04-16;24045;99100;France;Toulouse;31400;1 avenue Jean Jaurès
1006;acesar02;123;CESAR;NU-CESAR;Adèle;male;adele.cesar02@yopmail.com;987654321;1961-12-07;77468;99100;France;Toulouse;31400;1 avenue Jean Jaurès
1007;msy;123;SY;NU-SY;Milo;female;milo.sy@yopmail.com;987654321;1967-04-01;01001;99100;France;Toulouse;31400;1 avenue Jean Jaurès
1008;nchaillou;123;Chaillou;;Noémie;male;noemi.chaillou@yopmail.com;987654321;1984-12-15;01005;99100;France;Toulouse;31400;1 avenue Jean Jaurès
1009;acesar01-e1;123;CESAR;;Adèle;female;adele.cesar01@yopmail.com;555555555;1970-08-12;55555;99100;France;CasErreur;31400;1 avenue Jean Jaurès
1010;badam-e1;123;ADAM;NU-ADAM;Basile Alphonse;male;basil.adam@yopmail.com;555555555;2003-01-09;75056;95100;France;CasErreur;31400;1 avenue Jean Jaurès
1011;ncalvin-e1;123;KALVIN;;Najat;male;najat.calvin@yopmail.com;555555555;1961-03-12;67482;95100;France;CasErreur;31400;1 avenue Jean Jaurès
1012;acesar03-e1;123;CESAR;;Adriano;female;adriano.cesar03@yopmail.com;555555555;2000-12-16;55555;95100;France;CasErreur;31400;1 avenue Jean Jaurès
1013;scesar-e1;123;CESAR;NU-CESAR;SABINE PAULETTE;female;sabine.cesar@yopmail.com;555555555;1962-01-01;;99139;France;CasErreur;31400;1 avenue Jean Jaurès
1014;ejardin-e1;123;Jardin;NU-Jardin;Eddy;male;eddy.jardin@yopmail.com;555555555;1976-04-16;55555;99100;France;CasErreur;31400;1 avenue Jean Jaurès
1015;acesar-e2;123;C-ESAR;NU-CESAR;X-Adèle;male;adele.cesar02@yopmail.com;555555555;1961-01-07;71540;99100;France;CasErreur;31400;1 avenue Jean Jaurès
1016;msy-e1;123;SYMPA;NU-SY;Milano;female;milo.sy@yopmail.com;555555555;1967-04-01;21001;95100;France;CasErreur;31400;1 avenue Jean Jaurès
1017;nchaillou-e1;123;Chaillou;;Noémie;male;noemi.chaillou@yopmail.com;555555555;1984-12-17;01005;99100;France;CasErreur;31400;1 avenue Jean Jaurès
1018;ejardin-e2;123;Jardin;NU-Jardin;Eddy Jean-Jacques;male;eddy.jardin@yopmail.com;555555555;1976-04-26;24045;99100;France;CasErreur;31400;1 avenue Jean Jaurès
1019;badam01;123;ADAM;;Basile;male;basile.adam@yopmail.com;987654321;1961-12-05;34172;99100;;MONTPELLIER;75000;1 rue clair
1020;nadam;123;ADAM;;Nadine;female;nadine.adam@yopmail.com;987654321;1961-12-30;;99243;Viet Nam;VIET NAM;75000;2 rue clair
1021;mbaptiste;123;BAPTISTE;;Mohamed;female;mohamed.baptiste@yopmail.com;987654321;1981-05-02;01010;99100;France;ANGLEFORT;75000;3 rue clair
1022;vbecker;123;BECKER;;Valérie;male;valérie.becker@yopmail.com;987654321;1981-05-02;01045;99100;France;BIRIEUX;75000;4 rue clair
1023;sberthelot;123;BerthelotBerthelotBerthelot;;Sacha;male;sacha.berthelotberthelotberthelot@yopmail.com;987654321;1961-07-04;13055;99100;France;MARSEILLE;75000;5 rue clair
1024;lchampion;123;CHAMPION;;Laurence;female;laurence.champion@yopmail.com;987654321;2000-06-03;01026;99100;France;BAGE LE CHATEL;75000;6 rue clair
1025;sclovisnu;123;CLOVIS;NU-CLOVIS;Sarah  Sophie Marie;female;sarah.clovis@yopmail.com;987654321;1983-08-06;;99127;Italie;Italie;75000;7 rue clair
1026;sclovis;123;CLOVIS;;Sarah Sophie Marie;female;sarah.clovis@yopmail.com;987654321;1983-08-06;;99127;Italie;;75000;8 rue clair
1027;ncouderc;123;COUDERC;;Nicolas;male;nicolas.couderc@yopmail.com;987654321;2000-06-03;01041;99100;France;BETTANT;75000;9 rue clair
1028;ecros;123;CROS;;Edith;male;edith.cros@yopmail.com;987654321;1981-05-02;01033;99100;France;VALSERHONE;75000;10 rue clair
1029;edelamare;123;DELAMARE;;Esteban;male;esteban.delamare@yopmail.com;987654321;1976-04-16;01022;99100;France;ARTEMARE;75000;11 rue clair
1030;edoule;123;DOULE;;Eric;male;eric.doule@yopmail.com;987654321;1979-06-06;75056;99100;;PARIS;75000;12 rue clair
1031;adupont;123;DU PONT;;Adeline;female;adeline.dupont@yopmail.com;987654321;1975-07-10;75056;99100;;PARIS;75000;13 rue clair
1032;mdupont;123;DUPONT;NU-DUPONT;Madison;female;madison.dupont@yopmail.com;987654321;1961-12-12;69123;99100;;LYON;75000;14 rue clair
