$oid,identifiant,password,nomDeNaissance,prenom   ,secondPrenom,titre,Gender,email,telephone,birthdate,AAAA,MM,JJ,departementDeNaissance,codeCommune,regionDeNaissance,codePaysDeNaissance,adresseFormatee,createdAt,updatedAt
5b3e1280c1eb6856db7362bb,1234567891011,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,MERCIER,ERIC,JULIEN,M,male,mercier_eric@mail.com,123456789,1969-03-17,1969,03,17,47,7,95277,99100,97 BOULEVARD FRANÇOIS ROBERT 13016 MARSEILLE,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362bb,3_melaine,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,TROIS         ,MELAINE,EVELYNE,MME  ,female,trois_melaine@mail.com,123456789,1981-07-27,1981,07,27,47,8,95277,99100,120 BOULEVARD FRANÇOIS ROBERT 13016 MARSEILLE,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362bc,tatiana_no_family_name,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,          ,TATIANA,TONY,MME  ,male,cinq_tatiana@mail.com,123456789,1945-09-30,1945,09,30,54,9,95277,99100,Appartement 13 5 BOULEVARD BEAU SOLEIL 13015 MARSEILLE,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362bd,yvette_no_given_name,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,SIX, ,,MME  ,female,six@mail.com,123456789,1971-03-25,1971,03,25,37,58,95277,99100,17 AVENUE DU MERLAN 13014 MARSEILLE ,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362be,raymond_no_birthdate,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,SEPT,RAYMOND,,M,male,sept_raymond@mail.com,123456789,,,,,51,32,95277,99100,14 RUE NATIONALE 13001 MARSEILLE ,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362bf,lucien_no_gender,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,HUIT,LUCIEN,,M,,huit_lucien@mail.com,123456789,1925-11-18,1925,11,18,46,42,95277,99100,42 RUE ABBÉ DE L'ÉPÉE 13005 MARSEILLE,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362c0,alix_no_email,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,NEUF,ALIX,,MME  ,male,,123456789,1964-08-17,1964,08,17,40,65,95277,99100,100 BOULEVARD BAILLE 13005 MARSEILLE ,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362c1,guillaume_no_address,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,DIX,GUILLAUME,,M,male,dix_guillaume@mail.com,123456789,1990-01-18,1990,01,18,82,121,95277,99100,,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362c2,remi_no_phone,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,ONZE,REMI,MATHIEU,M,male,onze_remi@mail.com,,1992-02-25,1992,02,25,67,21,95277,99100,14 RUE DE LA FONTAINE AU ROI 75011 PARIS ,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
5b3e1280c1eb6856db7362c3,marcel_no_birthcountry,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,DOUZE,MARCEL,SEBASTIEN,M,male,douze_marcel@mail.com,123456789,1943-09-08,1943,09,08,67,36,95277,,RESIDENCE PRESTIGE 3 RUE VOLTA 75003 PARIS,2018-07-05T00:00:00.000Z,2018-07-05T00:00:00.000Z
