id       ,identifiant                     ,motDePasse,nomDeNaissance                                      ,nomDUsage,prenoms                   ,genre ,email                         ,telephone ,dateDeNaissance,codePostalLieuDeNaissance,codePaysDeNaissance,adressePays,adresseVille,adresseCodePostal,adresseVoie
1        ,test                            ,123       ,DUBOIS                                              ,         ,Angela Claire Louise      ,female,wossewodda-3728@yopmail.com   ,0123456789,1962-08-24     ,75107                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
2        ,sans_nom_dusage                 ,123       ,DUPONT                                              ,         ,Paul Louis                ,male  ,etabage-0159@yopmail.com      ,0123456789,1962-08-24     ,75107                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
3        ,avec_nom_dusage                 ,123       ,MERCIER                                             ,DUBOIS   ,Pierre                    ,male  ,ymmyffarapp-1777@yopmail.com  ,0623456789,1969-03-17     ,95277                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
4        ,nom_composé                     ,123       ,TROIS-DUPRE                                         ,         ,Melissandre Juliette      ,female,imyllommo-2736@yopmail.com    ,0723456789,1981-07-27     ,13012                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
5        ,prénom_composé                  ,123       ,HUCHE                                               ,         ,Anne-Laure                ,female,owallottim-1136@yopmail.com   ,0923456789,1945-09-30     ,31555                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
6        ,plusieurs_prénoms_2             ,123       ,HOCHON                                              ,         ,Valentin Emmanuel         ,male  ,lippizucis-4803@yopmail.com   ,0223456789,1955-01-01     ,69674                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
7        ,plusieurs_prénoms_3             ,123       ,DUBIGNOT                                            ,         ,Jean Philippe Arnaud      ,male  ,ecuhebup-9337@yopmail.com     ,0123456789,1943-06-15     ,75109                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
8        ,caractères_spéciaux             ,123       ,DUBINÔRE                                            ,         ,Joëlle Françoise          ,female,effannopiq-4009@yopmail.com   ,0123456789,1992-08-15     ,75117                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
9        ,nom_prénom_long                 ,123       ,DELALALALANDE                                       ,         ,Emmanuel Alexandre Nicolas,male  ,holisadduppe-5969@yopmail.com ,0123456789,1991-01-07     ,75101                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
10       ,sans_nom_naissance              ,123       ,                                                    ,         ,Anne-Laure Angélique      ,female,nepocajapp-8174@yopmail.com   ,0123456789,1992-08-12     ,75103                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
12       ,moins_18_ans                    ,123       ,CHAMPION                                            ,         ,Alice Juliette            ,female,tonegellaf-0100@yopmail.com   ,0123456789,2003-11-02     ,44109                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
13       ,naissance_Algérie               ,123       ,MARTIN                                              ,         ,Vincent Guillaume         ,male  ,senossammab-2430@yopmail.com  ,0123456789,1963-12-05     ,                         ,99352              ,France     ,Paris       ,75107            ,20 avenue de Ségur
14       ,naissance_Maroc                 ,123       ,GODIN                                               ,         ,Ermengardi                ,female,ammixaffa-0022@yopmail.com    ,0123456789,1985-09-05     ,                         ,99350              ,France     ,Paris       ,75107            ,20 avenue de Ségur
15       ,naissance_Portugal              ,123       ,SÉGUIN                                              ,         ,Henry                     ,male  ,sanellaffilu-1962@yopmail.com ,0123456789,1955-06-19     ,                         ,99139              ,France     ,Paris       ,75107            ,20 avenue de Ségur
18       ,naissance_Belgique              ,123       ,LAPRISE                                             ,DULIN    ,Saber                     ,male  ,cynnepovaz-0031@yopmail.com   ,0123456789,1946-08-17     ,                         ,99131              ,France     ,Paris       ,75107            ,20 avenue de Ségur
19       ,test_JEROME                     ,123       ,BERGERE                                             ,         ,JEROME PIERRE ERIC        ,male  ,ydozicah-3776@yopmail.com     ,0123456789,1959-08-15     ,75112                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
20       ,test_GERALDINE                  ,123       ,LAMPE                                               ,LIT      ,GERALDINE                 ,female,ducowanet-7006@yopmail.com    ,0123456789,1976-09-21     ,68066                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
21       ,test_CLEMENT                    ,123       ,CORSE                                               ,         ,CLEMENT                   ,male  ,baterollu-5399@yopmail.com    ,0123456789,1991-02-12     ,2A115                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
22       ,test_PHILIPPE                   ,123       ,LIT                                                 ,         ,PHILIPPE                  ,male  ,daddalassux-1955@yopmail.com  ,0123456789,1991-02-12     ,                         ,99137              ,France     ,Paris       ,75107            ,20 avenue de Ségur
23       ,test_BERTRAND                   ,123       ,GUERIDON                                            ,         ,BERTRAND                  ,male  ,uvebaffollo-9913@yopmail.com  ,0123456789,1959-08-15     ,35118                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
24       ,test_ALAIN                      ,123       ,BUREAU                                              ,         ,ALAIN                     ,male  ,raxihuda-0514@yopmail.com     ,0123456789,2003-04-04     ,75115                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
25       ,test_NICOLAS                    ,123       ,BUFFET                                              ,         ,NICOLAS                   ,male  ,ycofolarr-1534@yopmail.com    ,0123456789,1972-01-08     ,35124                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
27       ,test_CINDY                      ,123       ,COMMODE                                             ,ARMOIRE  ,CINDY                     ,female,itittotuq-6673@yopmail.com    ,0123456789,1980-06-27     ,57431                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
28       ,test_DAVID                      ,123       ,ARMOIRE                                             ,         ,DAVID                     ,male  ,dicipumo-1782@yopmail.com     ,0123456789,1975-10-28     ,57530                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
29       ,test_STEPHANE                   ,123       ,FAUTEUIL                                            ,         ,STEPHANE                  ,male  ,awakussarri-3287@yopmail.com  ,0123456789,1970-04-10     ,57253                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
30       ,test_JENNIFER                   ,123       ,CANAPE                                              ,FAUTEUIL ,JENNIFER                  ,female,saqetyde-2764@yopmail.com     ,0123456789,1978-05-16     ,57117                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
31       ,test_WILLIAM                    ,123       ,BALDAQUIN                                           ,         ,WILLIAM                   ,male  ,axitamaff-9064@yopmail.com    ,0123456789,1951-08-14     ,82195                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
32       ,test_LAURENT                    ,123       ,COIFFEUSE                                           ,         ,LAURENT                   ,male  ,xarrinedodd-0173@yopmail.com  ,0123456789,1951-07-20     ,82195                    ,99100              ,France     ,Paris       ,75107            ,20 avenue de Ségur
